ID,age,education,gender,hours-per-week
558,34,10,0,62
559,27,9,0,1
560,64,9,0,40
561,53,9,1,40
562,36,9,0,40
563,48,16,0,65
564,41,13,0,38
565,23,5,0,20
566,38,10,0,75
567,48,10,0,40
568,35,10,0,48
569,62,9,1,36
570,44,14,0,45
571,44,14,0,44
572,75,10,0,40
573,29,9,0,50
574,46,9,0,43
575,36,12,0,40
576,65,9,0,25
577,65,9,0,40
578,55,13,0,40
579,18,9,0,40
580,75,2,1,16
581,45,9,1,40
582,17,6,0,20
583,60,9,1,38
584,38,13,0,40
585,42,14,0,50
586,38,14,0,40
587,50,13,0,45
588,37,9,0,60
589,27,13,0,40
590,46,13,0,50
591,57,10,0,75
592,21,9,0,40
593,60,15,0,16
594,52,14,0,32
595,51,9,0,40
596,63,10,1,10
597,32,16,0,40
598,25,11,1,40
599,19,8,0,28
600,34,16,0,60
601,39,7,1,30
602,42,14,0,40
603,23,10,0,20
604,50,12,0,50
605,30,9,1,30
606,23,10,0,40
607,32,10,0,60
608,32,14,0,55
609,45,13,0,45
610,33,9,0,40
611,30,9,0,40
612,28,3,0,40
613,20,9,0,30
614,23,10,1,30
615,51,10,0,40
616,23,13,0,40
617,46,13,0,40
618,39,14,0,50
619,68,13,0,55
620,33,10,1,26
621,36,13,0,45
622,46,15,0,60
623,41,14,1,35
624,59,6,0,40
625,54,13,0,70
626,41,3,0,40
627,67,7,0,40
628,20,9,1,40
629,33,13,0,40
630,34,5,0,40
631,23,10,1,12
632,17,6,0,30
633,17,6,0,25
634,39,10,1,40
635,49,14,0,40
636,26,9,0,52
637,25,9,0,40
638,22,9,0,40
639,62,10,0,60
640,35,7,0,40
641,53,10,0,40
642,23,13,1,40
643,44,9,0,55
644,40,10,0,50
645,59,3,1,40
646,39,10,0,40
647,21,10,1,3
648,42,9,0,40
649,32,9,0,40
650,39,10,0,25
651,31,10,1,40
652,54,13,1,38
653,49,14,0,40
654,36,13,1,40
655,38,9,0,40
656,37,13,1,27
657,25,13,0,30
658,66,13,0,24
659,41,13,0,72
660,22,9,0,40
661,52,13,0,40
662,82,10,0,3
663,62,13,0,40
664,60,15,0,70
665,22,9,1,40
666,47,10,1,45
667,47,4,0,40
668,48,10,0,40
669,41,13,0,45
670,25,9,1,40
671,22,10,0,40
672,36,3,1,40
673,61,9,0,40
674,69,16,0,50
675,36,13,0,45
676,33,9,1,40
677,55,13,0,40
678,60,14,0,50
679,18,9,1,30
680,29,5,0,40
681,45,10,0,40
682,43,15,0,55
683,33,9,0,40
684,38,8,0,40
685,47,15,0,40
686,22,9,0,48
687,66,13,0,40
688,21,10,0,40
689,22,9,0,20
690,56,16,0,40
691,29,9,0,40
692,43,9,0,40
693,32,9,0,40
694,37,13,0,60
695,33,3,1,40
696,67,4,0,40
697,27,12,1,40
698,38,9,0,40
699,35,9,0,30
700,24,9,0,40
701,63,4,0,15
702,18,9,1,40
703,41,9,1,40
704,22,10,1,40
705,40,7,1,37
706,39,13,1,30
707,66,13,0,40
708,41,9,0,44
709,26,9,1,20
710,29,13,1,45
711,59,7,0,40
712,31,9,0,40
713,21,10,1,20
714,61,12,0,2
715,38,12,1,40
716,21,10,0,15
717,32,13,1,40
718,48,9,1,25
719,20,10,1,40
720,44,10,1,40
721,23,14,0,50
722,27,13,0,45
723,50,10,0,40
724,38,10,0,40
725,38,13,1,60
726,23,10,0,25
727,41,5,1,40
728,58,9,0,60
729,34,9,1,40
730,17,7,1,15
731,39,11,0,40
732,68,9,0,35
733,26,9,0,40
734,24,9,0,40
735,26,9,0,40
736,31,7,0,40
737,38,13,0,40
738,30,10,0,20
739,41,9,0,10
740,25,13,0,35
741,32,10,0,40
742,45,10,0,40
743,27,9,1,40
744,36,10,1,40
745,30,10,0,50
746,30,10,1,40
747,29,13,1,72
748,48,13,0,35
749,26,10,0,30
750,31,9,0,40
751,36,9,0,40
752,41,15,0,60
753,17,6,0,35
754,33,14,1,35
755,30,9,1,40
756,17,6,0,8
757,57,10,0,48
758,43,9,1,16
759,52,15,0,60
760,63,9,0,40
761,35,13,0,40
762,24,9,0,50
763,43,9,1,40
764,33,9,0,40
765,29,10,1,18
766,28,13,0,43
767,41,15,0,50
768,37,13,1,35
769,25,11,0,41
770,33,11,0,36
771,29,10,1,40
772,45,14,0,70
773,48,13,0,60
774,46,14,1,55
775,29,10,1,65
776,30,13,1,40
777,63,9,0,40
778,58,7,0,16
779,52,13,1,20
780,42,10,0,40
781,57,11,0,40
782,35,14,0,44
783,43,10,1,72
784,25,9,1,40
785,36,6,0,60
786,45,10,0,65
787,44,9,0,38
788,23,11,0,40
789,30,3,0,40
790,53,13,1,57
791,56,9,1,10
792,43,14,0,40
793,62,13,0,55
794,54,10,0,50
795,41,13,0,60
796,38,10,0,45
797,46,10,0,70
798,18,6,0,20
799,50,8,0,40
800,40,9,0,50
801,37,9,1,35
802,22,13,0,50
803,34,10,0,48
804,30,9,1,35
805,37,13,0,40
806,50,9,1,40
807,34,9,0,40
808,33,9,0,45
809,33,13,1,40
810,23,10,0,40
811,28,13,0,40
812,40,13,0,60
813,37,7,0,40
814,37,14,0,50
815,35,9,0,40
816,54,3,0,51
817,25,10,1,25
818,36,13,0,50
819,41,10,1,45
820,20,10,1,40
821,34,13,0,62
822,52,9,1,40
823,48,13,1,60
824,37,13,0,60
825,49,9,1,20
826,26,9,0,40
827,39,9,0,40
828,22,8,1,50
829,32,10,1,35
830,51,13,0,56
831,18,10,0,35
832,84,3,0,15
833,34,13,0,45
834,45,11,0,50
835,22,10,0,20
836,24,9,0,40
837,22,13,0,20
838,41,16,0,40
839,61,13,0,10
840,29,9,0,40
841,59,10,0,55
842,35,15,0,55
843,44,10,0,38
844,43,9,1,20
845,32,9,0,20
846,45,11,0,50
847,38,10,1,40
848,51,10,0,40
849,47,9,0,60
850,28,14,0,30
851,42,13,0,40
852,33,10,1,40
853,25,13,1,40
854,38,9,0,45
855,19,10,1,30
856,32,10,0,60
857,22,5,0,35
858,45,9,0,84
859,44,13,1,20
860,51,16,0,99
861,21,9,0,40
862,17,6,0,4
863,54,9,0,40
864,46,10,0,40
865,34,9,0,70
866,40,13,0,48
867,55,13,0,50
868,41,13,1,40
869,37,10,0,44
870,61,9,1,40
871,59,16,0,60
872,34,12,1,40
873,44,16,1,32
874,60,13,0,40
875,30,13,0,65
876,30,9,0,40
877,59,9,0,40
878,31,5,0,43
879,50,13,1,50
880,34,9,0,46
881,25,12,1,30
882,33,9,0,40
883,44,10,1,40
884,27,10,1,40
885,49,15,0,35
886,28,9,1,40
887,24,12,1,40
888,37,9,0,40
889,41,9,1,40
890,42,11,1,40
891,47,14,0,60
892,29,10,1,40
893,45,9,0,40
894,76,9,1,25
895,19,10,0,40
896,27,13,0,65
897,34,9,1,20
898,24,12,0,40
899,23,10,0,40
900,41,9,0,40
901,52,9,0,60
902,45,5,0,40
903,22,13,0,40
904,24,10,0,40
905,42,9,0,40
906,29,5,1,40
907,28,13,0,60
908,24,6,1,40
909,22,10,0,40
910,36,9,1,28
911,44,13,0,40
912,37,10,0,50
913,27,5,0,40
914,56,2,0,40
915,41,14,0,65
916,37,13,0,40
917,44,10,0,60
918,26,10,1,40
919,47,10,1,35
920,37,13,0,40
921,44,10,0,45
922,23,13,0,40
923,25,13,1,50
924,51,10,1,20
925,51,7,0,40
926,28,14,1,50
927,56,9,0,40
928,19,10,1,30
929,21,12,0,40
930,60,9,0,40
931,90,6,0,40
932,43,9,0,40
933,23,9,0,40
934,20,10,1,20
935,61,10,0,40
936,30,9,0,40
937,29,13,0,50
938,33,9,1,42
939,58,6,0,40
940,22,9,1,20
941,25,9,1,34
942,31,10,1,40
943,51,11,1,50
944,56,10,0,40
945,44,9,0,45
946,31,10,0,40
947,56,3,0,40
948,45,9,1,40
949,40,11,0,40
950,38,9,0,99
951,34,15,0,40
952,34,14,1,40
953,20,7,0,25
954,19,10,1,20
955,55,14,0,55
956,64,10,1,40
957,39,13,0,40
958,71,5,1,6
959,50,9,1,40
960,22,10,1,20
961,36,10,1,40
962,48,10,0,40
963,51,7,0,30
964,48,12,0,45
965,53,9,0,40
966,18,7,1,8
967,22,9,0,40
968,26,9,0,60
969,62,9,0,40
970,55,9,1,40
971,35,14,0,48
972,45,13,0,45
973,41,14,1,40
974,51,9,0,40
975,26,12,1,75
976,78,13,0,40
977,31,13,0,40
978,50,9,0,40
979,65,9,0,40
980,60,10,0,40
981,76,9,1,33
982,35,9,0,44
983,18,10,1,25
984,45,14,1,40
985,29,13,0,40
986,35,9,0,65
987,20,10,1,20
988,30,9,0,40
989,51,13,0,40
990,40,9,0,60
991,31,8,0,40
992,23,9,0,40
993,51,9,0,40
994,56,9,0,28
995,20,8,1,55
996,47,13,0,40
997,39,9,0,40
998,71,3,0,40
999,22,10,0,24
1000,17,6,0,40
1001,36,9,0,50
1002,17,6,0,30
1003,53,4,0,99
1004,36,9,0,45
1005,42,9,0,40
1006,33,13,0,60
1007,27,9,0,40
1008,28,13,0,55
1009,22,13,1,40
1010,34,9,1,40
1011,49,10,0,44
1012,41,10,1,45
1013,55,9,0,35
1014,29,12,0,45
1015,37,12,0,65
1016,48,10,0,40
1017,34,13,0,40
1018,50,13,1,40
1019,43,9,0,40
1020,33,9,0,45
1021,33,9,1,35
1022,55,6,0,40
1023,37,9,0,40
1024,25,5,0,40
1025,40,13,0,40
1026,19,10,0,84
1027,37,10,0,55
1028,40,9,0,40
1029,45,13,1,40
1030,76,9,1,8
1031,59,9,0,45
1032,36,13,0,48
1033,39,6,0,60
1034,22,10,0,39
1035,29,15,1,55
1036,32,12,0,20
1037,33,12,0,40
1038,57,2,0,35
1039,25,9,1,38
1040,46,10,0,58
1041,60,13,0,40
1042,38,10,0,40
1043,43,9,1,44
1044,35,9,0,55
1045,37,9,1,40
1046,35,13,0,25
1047,65,13,0,20
1048,38,6,0,40
1049,24,13,0,20
1050,27,10,0,60
1051,34,10,0,40
1052,47,9,0,25
1053,41,9,0,48
1054,18,8,0,20
1055,36,9,1,40
1056,49,13,0,50
1057,19,9,1,40
1058,50,9,1,44
1059,32,2,0,50
1060,33,13,0,40
1061,41,9,0,40
1062,41,13,0,40
1063,60,9,0,40
1064,42,16,1,45
1065,54,9,0,40
1066,45,9,0,40
1067,27,9,0,40
1068,18,7,0,20
1069,35,9,0,30
1070,31,13,0,48
1071,20,12,1,30
1072,54,9,1,40
1073,32,13,0,45
1074,50,10,0,40
1075,35,9,0,38
1076,23,13,0,30
1077,34,10,0,40
1078,34,10,0,40
1079,23,13,1,40
1080,40,3,0,40
1081,67,9,1,40
1082,50,10,0,48
1083,61,9,0,40
1084,50,14,0,40
1085,31,8,0,40
1086,33,13,0,38
1087,51,10,1,50
1088,36,9,0,60
1089,42,4,0,35
1090,45,10,0,40
1091,28,9,1,40
1092,64,13,0,24
1093,24,4,0,50
1094,62,13,0,50
1095,34,7,0,40
1096,33,10,0,65
1097,28,10,0,35
1098,20,10,1,10
1099,55,6,0,50
1100,35,9,0,40
1101,71,9,1,40
1102,42,10,0,52
1103,24,10,1,60
1104,42,9,0,40
1105,42,9,0,40
1106,42,9,1,35
1107,22,9,1,15
1108,17,7,1,20
1109,25,14,0,40
1110,19,7,1,19
1111,21,9,1,40
1112,50,9,1,40
1113,52,9,1,38
1114,45,9,0,40
1115,26,10,0,40
1116,35,9,0,40
1117,28,9,0,45
1118,26,9,0,40
1119,22,10,1,50
1120,32,10,0,45
1121,22,9,0,40
1122,42,13,0,40
1123,44,9,0,45
1124,40,9,0,40
1125,39,9,1,4
1126,27,13,0,2
1127,47,10,0,40
1128,35,13,0,40
1129,43,9,0,40
1130,20,9,1,35
1131,51,12,0,45
1132,70,14,0,30
1133,21,9,1,25
1134,23,9,0,65
1135,55,9,0,45
1136,51,4,1,40
1137,56,3,0,67
1138,45,13,0,40
1139,66,9,1,35
1140,64,9,0,8
1141,32,13,0,45
1142,33,13,0,40
1143,66,9,1,40
1144,45,13,1,48
1145,24,10,1,40
1146,20,10,0,20
1147,70,13,1,55
1148,22,10,0,40
1149,38,9,0,40
1150,59,10,0,43
1151,32,13,1,8
1152,24,9,0,40
1153,49,14,0,47
1154,65,5,1,40
1155,54,13,0,45
1156,52,10,0,40
1157,29,10,0,40
1158,25,14,0,40
1159,52,5,1,25
1160,29,10,1,8
1161,32,14,1,60
1162,30,9,0,40
1163,49,13,0,40
1164,54,9,0,40
1165,35,9,0,40
1166,56,9,1,40
1167,39,9,1,60
1168,49,13,0,25
1169,20,10,1,10
1170,37,10,1,40
1171,48,9,1,40
1172,37,9,1,40
1173,39,9,0,40
1174,61,4,0,40
1175,18,10,1,24
1176,17,9,0,40
1177,28,9,0,40
1178,42,9,0,40
1179,39,10,1,35
1180,37,9,0,40
1181,39,15,0,45
1182,18,7,1,15
1183,37,9,0,40
1184,24,9,1,36
1185,52,10,0,40
1186,20,9,0,40
1187,31,9,0,41
1188,31,13,1,35
1189,35,16,0,45
1190,23,9,0,60
1191,48,10,0,40
1192,26,13,0,40
1193,49,10,0,48
1194,39,9,0,40
1195,50,13,0,40
1196,29,9,1,50
1197,34,13,0,48
1198,24,9,0,50
1199,37,9,0,40
1200,43,9,0,52
1201,35,10,0,50
1202,47,9,0,40
1203,52,10,0,40
1204,50,9,0,40
1205,55,9,1,40
1206,32,11,0,40
1207,39,10,1,40
1208,39,10,0,60
1209,56,10,1,50
1210,61,9,1,24
1211,20,3,0,40
1212,48,10,1,43
1213,33,10,0,40
1214,33,9,0,40
1215,40,9,0,40
1216,51,13,0,40
1217,20,10,1,24
1218,75,9,0,26
1219,39,3,0,40
1220,49,14,0,40
1221,59,5,0,60
1222,37,9,0,52
1223,38,12,1,50
1224,34,15,0,40
1225,82,9,1,18
1226,35,13,0,50
1227,45,16,1,30
1228,41,13,1,40
1229,70,10,0,35
1230,24,10,1,40
1231,23,10,0,40
1232,20,10,1,30
1233,46,9,0,40
1234,28,2,1,40
1235,23,10,0,40
1236,50,10,1,40
1237,29,9,0,40
1238,64,9,1,15
1239,60,9,1,50
1240,54,9,1,40
1241,55,14,0,18
1242,44,13,0,40
1243,37,9,0,70
1244,54,9,1,32
1245,50,14,1,50
1246,18,7,1,50
1247,43,10,0,40
1248,37,10,0,50
1249,32,8,0,40
1250,36,9,0,70
1251,27,9,1,34
1252,69,9,1,12
1253,28,9,1,36
1254,59,14,1,45
1255,50,12,0,40
1256,66,13,0,45
1257,19,7,0,55
1258,21,8,0,48
1259,19,10,1,25
1260,29,10,0,40
1261,45,9,1,35
1262,58,16,0,50
1263,33,12,0,60
1264,40,10,1,40
1265,45,16,0,50
1266,40,13,1,45
1267,39,9,0,40
1268,37,13,1,55
1269,19,9,1,35
1270,59,10,0,50
1271,58,13,0,40
1272,31,11,0,40
1273,52,10,0,45
1274,58,10,0,40
1275,56,9,0,40
1276,62,10,0,60
1277,50,9,0,30
1278,49,13,0,60
1279,37,11,0,40
1280,33,10,0,40
1281,44,10,0,45
1282,65,13,1,40
1283,24,5,0,45
1284,56,9,0,60
1285,49,9,1,40
1286,20,10,1,35
1287,21,10,1,20
1288,36,9,0,50
1289,46,13,0,40
1290,23,9,0,40
1291,29,9,0,48
1292,36,7,0,40
1293,35,12,0,40
1294,35,13,0,50
1295,36,10,0,45
1296,33,10,0,50
1297,41,9,0,50
1298,23,9,0,40
1299,36,13,0,45
1300,30,9,1,25
1301,47,14,0,40
1302,54,9,0,40
1303,39,10,0,12
1304,26,11,1,38
1305,49,13,0,40
1306,29,13,0,40
1307,38,9,0,40
1308,41,10,0,65
1309,30,6,0,40
1310,35,8,1,30
1311,58,13,0,50
1312,43,14,1,50
1313,29,10,1,35
1314,49,10,1,40
1315,38,9,1,35
1316,24,9,0,25
1317,57,13,0,40
1318,60,4,0,40
1319,36,10,1,40
1320,48,9,0,60
1321,62,13,0,40
1322,40,10,0,50
1323,21,9,0,40
1324,60,14,1,40
1325,18,9,1,20
1326,30,10,0,50
1327,32,9,0,40
1328,34,13,0,45
1329,33,6,0,20
1330,27,5,0,40
1331,26,9,0,40
1332,18,7,1,49
1333,54,9,1,30
1334,22,10,0,55
1335,41,10,0,50
1336,43,9,0,40
1337,50,7,0,40
1338,41,13,0,35
1339,26,13,0,40
1340,40,9,0,40
1341,54,10,0,40
1342,47,9,0,40
1343,25,9,0,40
1344,31,9,1,40
1345,37,13,0,40
1346,30,10,0,24
1347,26,11,1,40
1348,31,13,0,50
1349,39,10,1,40
1350,57,10,1,60
1351,19,10,1,15
1352,56,11,0,45
1353,18,10,0,30
1354,46,12,0,38
1355,51,11,1,40
1356,32,10,0,48
1357,63,9,0,20
1358,38,15,1,40
1359,53,13,0,40
